toys,computer animation,pixar animation,kids and family,animation
disney animated feature,peter pan,children,animation,childhood
cartoon,adapted from:comic,surreal,music,original
animation,disney animated feature,talking animals,sequel,sequels
disney animated feature,animation,adventure,children,disney
sequel,sequels,fun movie,kids,original
oscar (best effects - visual effects),dark fantasy,based on a book,fantasy,fantasy world
adventure,based on a comic,superhero,super hero,superheroes
dog,family,fun movie,original,disney
disney animated feature,fairy tale,animation,70mm,fairy tales
dark,dark fantasy,adapted from:book,based on a book,witch
sequel,sequels,family,original,disney
based on a book,cartoon,animals,stereotypes,disney
romantic comedy,romantic,romance,love story,sweet
native americans,indians,history,us history,slavery
cartoon,animation,musical,disney,animals
adventure,greed,family,original,chase
coming of age,based on a book,adapted from:book,coming-of-age,runaway
technology,cyberpunk,computer game,video game,computer animation
world war ii,germany,nazis,jews,nazi
halloween,slasher,franchise,horror,teens
story,los angeles,love story,magic realism,surreal
rags to riches,comedy,funniest movies,hilarious,classic
private detective,spoof,parody,film noir,comedy
comedy,farce,mad scientist,funny,goofy
social commentary,friendship,existentialism,life,unlikely friendships
rats,horror,splatter,monster,original
adapted from:book,based on book,based on a book,book,literary adaptation
oscar (best effects - visual effects),treasure hunt,indiana jones,adventure,archaeology
adapted from:book,wizards,animation,based on a book,book was better
george orwell,adapted from:book,dystopic future,based on a book,dystopia
supernatural,based on a book,suspense,adaptation,adapted from:book
awesome soundtrack,cult classic,ridiculous,silly,absurd
small town,adapted from:book,based on a book,devil,adaptation
based on a book,adapted from:book,horror,dog,dogs
creepy,small town,horror,supernatural,cult
animation,talking animals,dog,dogs,cartoon
macabre,based on a tv show,dysfunctional family,goth,gothic
fairy tale,romantic,girlie movie,chick flick,love story
conspiracy,suspense,surveillance,thriller,chase
comedy,heist,independent film,gangsters,caper
documentary,bollywood,life,original,classic car
gangster,coen bros,gangsters,casino,drugs
mother daughter relationship,criterion,bleak,relationships,intimate
oscar (best actress),relationships,based on a play,oscar (best cinematography),drinking
fun movie,80s,adventure,1980s,teen
teen movie,geeks,teen,teens,1980s
oscar (best music - original song),animals,talking animals,musical,fantasy
love,buddy movie,story,alter ego,comedy
animation,animals,adapted from:book,cartoon,based on book
rabbits,based on a book,adapted from:book,animation,based on book
animation,based on book,animated,based on a book,adapted from:book
dark fantasy,fantasy world,modern fantasy,fantasy,high fantasy
animation,cartoon,animated,family,immigrants
animation,sequel,cartoon,animated,sequels
dark fantasy,fantasy,high fantasy,fairy tale,modern fantasy
teen movie,teen,geeks,teens,high school
teen movie,teen,high school,teens,1980s
1980s,friendship,unlikely friendships,teen,teen movie
based on a book,adapted from:book,based on book,book,70mm
haunted house,horror,ghosts,supernatural,demons
sequel,haunted house,original,horror,sequels
africa,culture clash,humorous,comedy,desert
africa,sequels,adventure,desert,culture clash
dog,sports,animals,family,football
original,based on a tv show,horrible,bad plot,predictable
chick flick,romantic,love story,romantic comedy,romance
coming of age,dysfunctional family,single father,coming-of-age,adolescence
women,romantic,marriage,italy,spanish
spanish,romantic,story,original,love story
serial killer,good sequel,murder,sequels,violence
serial killer,disturbing,brutality,murder,brutal
horror,creepy,paranoia,scary,psychological
imagination,fantasy world,fantasy,based on a book,high fantasy
sequel,fantasy,fantasy world,sequels,magic
spoof,parody,cult film,so bad it's funny,silly
nazis,splatter,violence,so bad it's funny,surfing
relationships,sexual,dialogue driven,dialogue,sexualized violence
powerful ending,friendship,drugs,great acting,weed
vampires,vampire,based on a comic,action,super hero
dancing,dance,music,hip hop,so bad it's funny
college,comedy,weed,funny,silly fun
spoof,parody,silly fun,hilarious,silly
independent film,romantic,romantic comedy,destiny,relationships
girlie movie,teen movie,teen,school,teenager
dark fantasy,medieval,time travel,allegory,imagination
ghosts,afterlife,weird,supernatural,comedy
destiny,love,romantic,romance,love story
hitchcock,murder,crime,suspense,tense
hitchcock,kidnapping,suspense,murder,greed
hitchcock,serial killer,suspense,murder,police investigation
hitchcock,espionage,spying,cold war,suspense
hitchcock,espionage,east germany,spying,cold war
hitchcock,psychological,suspense,psychology,obsession
hitchcock,suspense,mistaken identity,police investigation,crime
hitchcock,assassination,assassin,suspense,espionage
hitchcock,death,coen bros,dark humor,suspense
hitchcock,murder,police investigation,guilt,suspense
hitchcock,imdb top 250,murder,suspense,oscar (best cinematography)
hitchcock,murder,suspense,murder mystery,talky
new jersey,drug abuse,good soundtrack,new york,drugs
surreal,weird,male nudity,sexual,animation
biopic,musical,women,biography,original
george orwell,based on a book,book was better,life philosophy,literary adaptation
coen bros,intimate,relationships,original,melancholic
high fantasy,fantasy,fantasy world,magic,wizards
organized crime,oscar (best supporting actor),gangster,gangsters,oscar (best directing)
comedy,funny,saturday night live,chase,hilarious
martial arts,fight scenes,action,hong kong,kung fu
race issues,romance,beautifully filmed,love story,19th century
music,musicians,documentary,dance,good soundtrack
gambling,gangsters,police corruption,heist,corruption
hitchcock,costume drama,suspense,australia,suspenseful
hitchcock,murder,suspense,lawyer,courtroom
hitchcock,world war ii,wartime,german,claustrophobic
hitchcock,tense,small town,imdb top 250,suspense
hitchcock,suspense,chase,wartime,espionage
hitchcock,screwball comedy,screwball,marriage,comedy
hitchcock,suspense,obsession,paranoia,murder
hitchcock,costume drama,greed,suspense,chase
hitchcock,criterion,train,imdb top 250,conspiracy
hitchcock,murder,suspense,chase,murder mystery
hitchcock,london,suspense,espionage,suspenseful
hitchcock,espionage,spying,spy,suspense
hitchcock,assassination,criterion,kidnapping,suspense
hitchcock,suspense,chase,mystery,suspenseful
hitchcock,suspense,murder,suspenseful,screwball
hitchcock,suspense,1930s,talky,original
hitchcock,irish,suspense,family,original
hitchcock,murder,murder mystery,police investigation,guilt
hitchcock,silent,talky,murder,guilt
hitchcock,silent,suspense,original,chase
hitchcock,silent,criterion,serial killer,suspenseful
poker,gambling,mentor,great acting,narrated
maze,claustrophobic,low budget,original,paranoia
friendship,disability,original,fantasy world,family
women,sex,pornography,sexual,lesbian
based on a book,based on book,sentimental,tear jerker,drama
biopic,olympics,sports,biographical,mentor
fascism,world war ii,camp,holocaust,nazis
fascism,stranded,erotic,sexual,passionate
bullying,high school,teen movie,teen,teens
teen movie,teen,nudity (topless),virginity,school
small town,bdsm,plot,original,predictable
journalism,relationships,romance,workplace,great acting
college,teen movie,original,bad acting,80s
girlie movie,1980s,business,workplace,romantic comedy
original,slapstick,silly fun,comedy,farce
mafia,mob,organized crime,off-beat comedy,oscar (best directing)
teen,teen movie,romantic,teens,high school
mafia,mob,hit men,organized crime,gangster
drama,death,depression,family drama,bittersweet
homeless,feel-good,chase,good,redemption
surreal,toys,surrealism,dreamlike,visually stunning
spoof,parody,comedy,silly,nudity (topless)
futuristic,future,post apocalyptic,scifi,post-apocalyptic
mother-son relationship,teenager,love,teen,san francisco
ninja,martial arts,fight scenes,mentor,original
sexy,nudity (full frontal - notable),nudity,nudity (topless - notable),pornography
chase,original,police,revenge,fantasy
goofy,teen movie,humorous,dumb but funny,teen
relationships,love story,nudity (topless - notable),romantic,nudity (topless)
biblical,supernatural,end of the world,apocalypse,sacrifice
comedy,original,remake,idiotic,prison
chase,cult film,small town,weird,so bad it's funny
romantic,romantic comedy,destiny,love,new york
suspense,murder,new jersey,police investigation,murder mystery
lawyers,courtroom,lawyer,court,drama
relationships,love,las vegas,love story,adultery
addiction,drug addiction,drugs,writer's life,drug abuse
cancer,dysfunctional family,father daughter relationship,family drama,mother daughter relationship
martial arts,action,buddy movie,comedy,good action
rock and roll,post apocalyptic,awesome soundtrack,post-apocalyptic,cult film
adoption,relationships,sexuality,family drama,drama
chase,action,car chase,realistic action,espionage
horror,slasher,teen movie,death,murder
small town,serial killer,murder,dark humor,independent film
irish,boston,gangsters,independent film,crime
weird,independent film,art,obsession,nudity (full frontal - notable)
mother-son relationship,cinematography,desert,visually appealing,africa
social commentary,brutality,foreign,poignant,indians
golden palm,surreal,criterion,rebellion,surrealism
original,parody,cult classic,spoof,pornography
science fiction,sci-fi,scifi,sci fi,desert
alien,paranoia,claustrophobic,horror,gory
satirical,hollywood,satire,cynical,talky
coen bros,sarcasm,talky,original,existentialism
depp & burton,dark fantasy,fairy tale,weird,loneliness
romantic comedy,teen movie,love,love story,teen
slavery,story,death,segregation,original
computer animation,animation,animated,cartoon,kids and family
